Profile Summary
Generated on: 2021-07-29 00:22:20
Msec since Epoch: 1627532540034
Profiled application: app.exe
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.634
Build version branch: 2021.1
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: xilinx_u50_gen3x16_xdma_201920_3-0
Flow mode: Software Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,4,0.144887,0.029031,0.0362217,0.044061,
clCreateCommandQueue,1,0.010191,0.010191,0.010191,0.010191,
clCreateContext,1,0.024211,0.024211,0.024211,0.024211,
clCreateKernel,1,0.73143,0.73143,0.73143,0.73143,
clCreateProgramWithBinary,2,79.7002,31.3425,39.8501,48.3577,
clEnqueueMapBuffer,4,0.196644,0.012634,0.049161,0.145089,
clEnqueueMigrateMemObjects,2,0.025182,0.008526,0.012591,0.016656,
clEnqueueTask,1,17.2399,17.2399,17.2399,17.2399,
clFinish,1,121980,121980,121980,121980,
clGetDeviceIDs,2,0.002878,0.000894,0.001439,0.001984,
clGetExtensionFunctionAddress,2,0.023545,0.002582,0.0117725,0.020963,
clGetExtensionFunctionAddressForPlatform,2,0.009191,0.000979,0.0045955,0.008212,
clGetPlatformInfo,6,0.0046,0.000549,0.000766667,0.001287,
clReleaseCommandQueue,1,0.005353,0.005353,0.005353,0.005353,
clReleaseContext,1,3.18751,3.18751,3.18751,3.18751,
clReleaseDevice,2,0.003051,0.001,0.0015255,0.002051,
clReleaseKernel,1,0.956329,0.956329,0.956329,0.956329,
clReleaseMemObject,12,0.03021,0.000689,0.0025175,0.01546,
clReleaseProgram,2,0.812293,0.011162,0.406147,0.801131,
clRetainDevice,2,0.001937,0.000662,0.0009685,0.001275,
clRetainMemObject,8,0.013771,0.000723,0.00172138,0.004889,
clSetKernelArg,11,0.034086,0.000746,0.00309873,0.009248,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
ydma,1,121964,121964,121964,121964,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u50_gen3x16_xdma_201920_3-0,ydma_1,ydma,1:1:1,1:1:1,1,No,0,1.000000x,121964,121964,121964,121964,300,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94362695368544,ydma,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,605.996,121964,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
12288,0,0,605.678,N/A,3572.11,N/A,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
3588096,0,0,122570,N/A,3572.11,N/A,



Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u50_gen3x16_xdma_201920_3-0,121964,
CU_CALLS,xilinx_u50_gen3x16_xdma_201920_3-0|ydma_1,1,
MIGRATE_MEM,host,2,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[0],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[10],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[11],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[12],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[13],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[14],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[15],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[16],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[17],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[18],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[19],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[1],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[20],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[21],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[22],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[23],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[24],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[25],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[26],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[27],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[28],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[29],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[2],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[30],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[31],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[3],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[4],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[5],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[6],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[7],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[8],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[9],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM[0],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM[1],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM[2],1,
